time, floatWave, floatFilteredWave, sfintWave, sfintFilteredWave
0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000023, 13.535202, 0.000000, 13.535202, 0.000000
0.000045, 27.070375, 0.005414, 27.070374, 0.005142
0.000068, 40.605495, 0.021522, 40.605484, 0.020462
0.000091, 54.140533, 0.053471, 54.140533, 0.050873
0.000113, 67.675461, 0.106278, 67.675461, 0.101166
0.000136, 81.210251, 0.184829, 81.210251, 0.175995
0.000159, 94.744873, 0.293884, 94.744873, 0.279907
0.000181, 108.279305, 0.438077, 108.279297, 0.417313
0.000204, 121.813522, 0.621917, 121.813522, 0.592514
0.000227, 135.347488, 0.849792, 135.347488, 0.809708
0.000249, 148.881165, 1.125969, 148.881165, 1.072952
0.000272, 162.414566, 1.454593, 162.414566, 1.386215
0.000295, 175.947617, 1.839696, 175.947617, 1.753342
0.000317, 189.480316, 2.285191, 189.480316, 2.178055
0.000340, 203.012650, 2.794878, 203.012650, 2.663971
0.000363, 216.544540, 3.372443, 216.544540, 3.214600
0.000385, 230.076019, 4.021465, 230.076019, 3.833374
0.000408, 243.607010, 4.745409, 243.607010, 4.523560
0.000431, 257.137512, 5.547636, 257.137512, 5.288361
0.000454, 270.667511, 6.431398, 270.667511, 6.130890
0.000476, 284.196930, 7.399847, 284.196930, 7.054153
0.000499, 297.725769, 8.456026, 297.725769, 8.061050
0.000522, 311.254028, 9.602882, 311.254028, 9.154373
0.000544, 324.781677, 10.843262, 324.781677, 10.336838
0.000567, 338.308624, 12.179912, 338.308624, 11.611053
0.000590, 351.834900, 13.615483, 351.834900, 12.979553
0.000612, 365.360443, 15.152533, 365.360443, 14.444763
0.000635, 378.885254, 16.793522, 378.885254, 16.009033
0.000658, 392.409332, 18.540823, 392.409332, 17.674622
0.000680, 405.932556, 20.396717, 405.932556, 19.443695
0.000703, 419.454987, 22.363396, 419.454987, 21.318329
0.000726, 432.976562, 24.442963, 432.976562, 23.300507
0.000748, 446.497253, 26.637438, 446.497253, 25.392151
0.000771, 460.017059, 28.948755, 460.017059, 27.595108
0.000794, 473.535919, 31.378767, 473.535919, 29.911133
0.000816, 487.053802, 33.929245, 487.053802, 32.341904
0.000839, 500.570709, 36.601879, 500.570709, 34.889038
0.000862, 514.086609, 39.398281, 514.086609, 37.554062
0.000884, 527.601440, 42.319984, 527.601440, 40.338425
0.000907, 541.115234, 45.368450, 541.115234, 43.243484
0.000930, 554.627930, 48.545063, 554.627930, 46.270569
0.000952, 568.139465, 51.851135, 568.139465, 49.420929
0.000975, 581.649841, 55.287910, 581.649841, 52.695709
0.000998, 595.159058, 58.856560, 595.159058, 56.096024
0.001020, 608.667053, 62.558186, 608.667053, 59.622925
0.001043, 622.173828, 66.393822, 622.173828, 63.277390
0.001066, 635.679382, 70.364433, 635.679382, 67.060333
0.001088, 649.183594, 74.470924, 649.183594, 70.972595
0.001111, 662.686523, 78.714142, 662.686523, 75.014969
0.001134, 676.188049, 83.094864, 676.188049, 79.188171
0.001156, 689.688232, 87.613808, 689.688232, 83.492905
0.001179, 703.187012, 92.271629, 703.187012, 87.929764
0.001202, 716.684387, 97.068924, 716.684387, 92.499313
0.001224, 730.180298, 102.006241, 730.180298, 97.202057
0.001247, 743.674683, 107.084061, 743.674683, 102.038437
0.001270, 757.167603, 112.302818, 757.167603, 107.008850
0.001293, 770.659058, 117.662895, 770.659058, 112.113632
0.001315, 784.148804, 123.164612, 784.148804, 117.353088
0.001338, 797.637024, 128.808243, 797.637024, 122.727432
0.001361, 811.123657, 134.594009, 811.123657, 128.236893
0.001383, 824.608582, 140.522095, 824.608582, 133.881607
0.001406, 838.091858, 146.592636, 838.091858, 139.661682
0.001429, 851.573425, 152.805710, 851.573425, 145.577194
0.001451, 865.053284, 159.161346, 865.053284, 151.628159
0.001474, 878.531372, 165.659546, 878.531372, 157.814545
0.001497, 892.007629, 172.300247, 892.007629, 164.136292
0.001519, 905.482239, 179.083359, 905.482239, 170.593307
0.001542, 918.954895, 186.008759, 918.954895, 177.185440
0.001565, 932.425659, 193.076263, 932.425659, 183.912491
0.001587, 945.894531, 200.285660, 945.894531, 190.774246
0.001610, 959.361511, 207.636703, 959.361511, 197.770462
0.001633, 972.826538, 215.129105, 972.826538, 204.900833
0.001655, 986.289612, 222.762527, 986.289612, 212.165039
0.001678, 999.750671, 230.536621, 999.750671, 219.562698
0.001701, 1013.209656, 238.450989, 1013.209656, 227.093445
0.001723, 1026.666626, 246.505203, 1026.666626, 234.756836
0.001746, 1040.121582, 254.698807, 1040.121582, 242.552429
0.001769, 1053.574341, 263.031311, 1053.574341, 250.479721
0.001791, 1067.025024, 271.502197, 1067.025024, 258.538208
0.001814, 1080.473511, 280.110901, 1080.473511, 266.727356
0.001837, 1093.919678, 288.856842, 1093.919678, 275.046570
0.001859, 1107.363770, 297.739410, 1107.363770, 283.495300
0.001882, 1120.805542, 306.757965, 1120.805542, 292.072845
0.001905, 1134.245117, 315.911865, 1134.245117, 300.778625
0.001927, 1147.682373, 325.200409, 1147.682373, 309.611938
0.001950, 1161.117188, 334.622894, 1161.117188, 318.572083
0.001973, 1174.549805, 344.178589, 1174.549805, 327.658356
0.001995, 1187.979980, 353.866730, 1187.979980, 336.869995
0.002018, 1201.407715, 363.686554, 1201.407715, 346.206299
0.002041, 1214.833008, 373.637238, 1214.833008, 355.666443
0.002063, 1228.255859, 383.717957, 1228.255859, 365.249603
0.002086, 1241.676147, 393.927887, 1241.676147, 374.955017
0.002109, 1255.094116, 404.266174, 1255.094116, 384.781799
0.002132, 1268.509399, 414.731934, 1268.509399, 394.729156
0.002154, 1281.921997, 425.324280, 1281.921997, 404.796143
0.002177, 1295.332153, 436.042297, 1295.332153, 414.981934
0.002200, 1308.739624, 446.885040, 1308.739624, 425.285583
0.002222, 1322.144531, 457.851562, 1322.144531, 435.706177
0.002245, 1335.546509, 468.940918, 1335.546509, 446.242737
0.002268, 1348.946045, 480.152130, 1348.946045, 456.894409
0.002290, 1362.342651, 491.484192, 1362.342651, 467.660217
0.002313, 1375.736694, 502.936096, 1375.736694, 478.539154
0.002336, 1389.127808, 514.506836, 1389.127808, 489.530273
0.002358, 1402.516113, 526.195374, 1402.516113, 500.632507
0.002381, 1415.901611, 538.000671, 1415.901611, 511.844940
0.002404, 1429.284058, 549.921692, 1429.284058, 523.166504
0.002426, 1442.663818, 561.957397, 1442.663818, 534.596191
0.002449, 1456.040527, 574.106689, 1456.040527, 546.132935
0.002472, 1469.414429, 586.368530, 1469.414429, 557.775757
0.002494, 1482.785156, 598.741821, 1482.785156, 569.523499
0.002517, 1496.152954, 611.225464, 1496.152954, 581.375244
0.002540, 1509.517700, 623.818359, 1509.517700, 593.329834
0.002562, 1522.879517, 636.519409, 1522.879517, 605.386169
0.002585, 1536.238159, 649.327454, 1536.238159, 617.543274
0.002608, 1549.593628, 662.241394, 1549.593628, 629.800049
0.002630, 1562.946045, 675.260132, 1562.946045, 642.155334
0.002653, 1576.295044, 688.382507, 1576.295044, 654.608154
0.002676, 1589.641113, 701.607361, 1589.641113, 667.157227
0.002698, 1602.983765, 714.933594, 1602.983765, 679.801636
0.002721, 1616.323364, 728.360046, 1616.323364, 692.540161
0.002744, 1629.659546, 741.885559, 1629.659546, 705.371765
0.002766, 1642.992432, 755.508972, 1642.992432, 718.295288
0.002789, 1656.322021, 769.229126, 1656.322021, 731.309631
0.002812, 1669.648315, 783.044922, 1669.648315, 744.413696
0.002834, 1682.971191, 796.955200, 1682.971191, 757.606384
0.002857, 1696.290527, 810.958801, 1696.290527, 770.886536
0.002880, 1709.606567, 825.054565, 1709.606567, 784.253052
0.002902, 1722.918945, 839.241333, 1722.918945, 797.704834
0.002925, 1736.228027, 853.517944, 1736.228027, 811.240784
0.002948, 1749.533325, 867.883240, 1749.533325, 824.859741
0.002971, 1762.835327, 882.336060, 1762.835327, 838.560608
0.002993, 1776.133667, 896.875244, 1776.133667, 852.342285
0.003016, 1789.428467, 911.499634, 1789.428467, 866.203674
0.003039, 1802.719604, 926.208069, 1802.719604, 880.143616
0.003061, 1816.006958, 940.999390, 1816.006958, 894.161011
0.003084, 1829.290771, 955.872437, 1829.290771, 908.254822
0.003107, 1842.570801, 970.826050, 1842.570801, 922.423889
0.003129, 1855.847168, 985.859070, 1855.847168, 936.667114
0.003152, 1869.119629, 1000.970337, 1869.119629, 950.983398
0.003175, 1882.388428, 1016.158752, 1882.388428, 965.371582
0.003197, 1895.653198, 1031.423218, 1895.653198, 979.830688
0.003220, 1908.914429, 1046.762573, 1908.914429, 994.359619
0.003243, 1922.171509, 1062.175659, 1922.171509, 1008.957153
0.003265, 1935.424805, 1077.661377, 1935.424805, 1023.622375
0.003288, 1948.674316, 1093.218506, 1948.674316, 1038.354126
0.003311, 1961.919678, 1108.845947, 1961.919678, 1053.151367
0.003333, 1975.161133, 1124.542603, 1975.161133, 1068.012939
0.003356, 1988.398438, 1140.307373, 1988.398438, 1082.937866
0.003379, 2001.631958, 1156.139160, 2001.631958, 1097.925049
0.003401, 2014.861206, 1172.036865, 2014.861206, 1112.973511
0.003424, 2028.086426, 1187.999390, 2028.086426, 1128.082031
0.003447, 2041.307495, 1204.025635, 2041.307495, 1143.249878
0.003469, 2054.524414, 1220.114502, 2054.524414, 1158.475708
0.003492, 2067.737305, 1236.265015, 2067.737305, 1173.758545
0.003515, 2080.945801, 1252.476074, 2080.945801, 1189.097534
0.003537, 2094.150391, 1268.746582, 2094.150391, 1204.491577
0.003560, 2107.350342, 1285.075439, 2107.350342, 1219.939575
0.003583, 2120.546387, 1301.461670, 2120.546387, 1235.440674
0.003605, 2133.737793, 1317.904175, 2133.737793, 1250.993652
0.003628, 2146.925049, 1334.401978, 2146.925049, 1266.597778
0.003651, 2160.107910, 1350.953979, 2160.107910, 1282.251953
0.003673, 2173.286377, 1367.559204, 2173.286377, 1297.955200
0.003696, 2186.460449, 1384.216675, 2186.460449, 1313.706543
0.003719, 2199.630127, 1400.925415, 2199.630127, 1329.505005
0.003741, 2212.795166, 1417.684326, 2212.795166, 1345.349731
0.003764, 2225.955811, 1434.492432, 2225.955811, 1361.239624
0.003787, 2239.112061, 1451.348755, 2239.112061, 1377.173950
